model,year,odometer,price,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,driveType,state
Model 3,2020,37611.0,29300,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",446.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,30042.0,29300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",446.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,NJ
Model 3,2020,24532.0,29400,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",448.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,48206.0,29400,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",448.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,46901.0,29500,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",450.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,30131.0,29600,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",451.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,26533.0,29800,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",455.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,MD
Model 3,2020,36964.0,29800,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sport Wheels",455.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,16382.0,29900,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic Paint,"19"" Sport Wheels",457.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,GA
Model 3,2020,22994.0,30200,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",462.0,85305,Black and White Partial Premium Interior, Rear-Wheel Drive,FL
Model 3,2020,49711.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,49942.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,32158.0,30300,Autopilot,No Reported Accidents/Damage,Pearl White Paint,"18"" Aero Wheels",464.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
Model 3,2020,38468.0,30300,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"18"" Aero Wheels",464.0,85305,All Black Partial Premium Interior, Rear-Wheel Drive,CA
